family_id temporary_sample_id original_sample_id
extern11 Nova_Scotia_Duck_Tolling_Retriever_1 extern11
2502 Irish_Wolfhound_2 2502
2713 Hovawart_3 2713
2793 Doberman_Pinscher_4 2793
3115 Cairn_Terrier_5 3115
3231 Cairn_Terrier_6 3231
5460 Cairn_Terrier_7 5460
5527 Cairn_Terrier_8 5527
6455RE Greater_Swiss_Mountain_Dog_9 6455RE
6849 Hovawart_10 6849
7044 Cavalier_King_Charles_Spaniel_11 7044
7469 Irish_Wolfhound_12 7469
8708 Border_Terrier_13 8708
8831 Boerboel_14 8831
8970 Irish_Wolfhound_15 8970
9149 Border_Terrier_16 9149
9803 Irish_Wolfhound_17 9803
extern10051 Belgian_Malinois_18 extern10051
extern10161 Belgian_Malinois_19 extern10161
extern10441 Belgian_Malinois_20 extern10441
extern10811 Belgian_Malinois_21 extern10811
extern10861 Belgian_Malinois_22 extern10861
11798 Cairn_Terrier_23 11798
11846 Miniature_Schnauzer_24 11846
11931 Belgian_Tervuren_25 11931
12559RE Cane_Corso_26 12559RE
12893 Belgian_Tervuren_27 12893
12899 Belgian_Tervuren_28 12899
12908 Labrador_Retriever_29 12908
13019 Belgian_Tervuren_30 13019
13127 Groenendael_31 13127
13151 Miniature_Schnauzer_32 13151
13174 Labrador_Retriever_33 13174
13687 Irish_Wolfhound_34 13687
14086 Miniature_Schnauzer_35 14086
15173 Miniature_Schnauzer_36 15173
17607 Kooikerhondje_37 17607
17676 Groenendael_38 17676
19959 Belgian_Tervuren_39 19959
20739 Groenendael_40 20739
22670 Markiesje_41 22670
22672 Markiesje_42 22672
22678 Markiesje_43 22678
22724 Markiesje_44 22724
22737 Markiesje_45 22737
25420 Boerboel_46 25420
29121 French_Bulldog_47 29121
29128 French_Bulldog_48 29128
29130 French_Bulldog_49 29130
29297 French_Bulldog_50 29297
29392 English_Cocker_Spaniel_51 29392
31516 French_Bulldog_52 31516
35074 English_Cocker_Spaniel_53 35074
35075 English_Cocker_Spaniel_54 35075
35086 English_Cocker_Spaniel_55 35086
35164 English_Cocker_Spaniel_56 35164
AC065 Australian_Cattle_Dog_57 AC065
AC108 Australian_Cattle_Dog_58 AC108
ACKR000001 Cocker_Spaniel_59 ACKR000001
ACKR000002 Cocker_Spaniel_60 ACKR000002
ACKR000003 Cocker_Spaniel_61 ACKR000003
AD009 Alpine_Dachsbracke_62 AD009
AESK000001 American_Eskimo_Dog_63 AESK000001
AESK000002 American_Eskimo_Dog_64 AESK000002
AESK000004 American_Eskimo_Dog_65 AESK000004
AESK000005 American_Eskimo_Dog_66 AESK000005
AESK000006 American_Eskimo_Dog_67 AESK000006
AFFN000001 Affenpinscher_68 AFFN000001
AFFN000003 Affenpinscher_69 AFFN000003
AFFN000004 Affenpinscher_70 AFFN000004
AFFN000005 Affenpinscher_71 AFFN000005
AFFN000006 Affenpinscher_72 AFFN000006
AFOX000001 American_Foxhound_73 AFOX000001
AFOX000002 American_Foxhound_74 AFOX000002
AFOX000003 American_Foxhound_75 AFOX000003
AFOX000004 American_Foxhound_76 AFOX000004
AFOX000007 American_Foxhound_77 AFOX000007
AHRT000001 American_Hairless_Terrier_78 AHRT000001
AHRT000002 American_Hairless_Terrier_79 AHRT000002
AHRT000003 American_Hairless_Terrier_80 AHRT000003
AHRT000004 American_Hairless_Terrier_81 AHRT000004
AHRT000005 American_Hairless_Terrier_82 AHRT000005
AKIT000004 American_Akita_83 AKIT000004
AKIT000005 American_Akita_84 AKIT000005
AKIT000006 American_Akita_85 AKIT000006
AKIT000008 American_Akita_86 AKIT000008
AKIT000009 American_Akita_87 AKIT000009
ALDB000002 Alpine_Dachsbracke_88 ALDB000002
ALDB000003 Alpine_Dachsbracke_89 ALDB000003
ALDB000005 Alpine_Dachsbracke_90 ALDB000005
ALDB000007 Alpine_Dachsbracke_91 ALDB000007
AM007 Alaskan_Malamute_92 AM007
AM019 Alaskan_Malamute_93 AM019
AMAL000001 Alaskan_Malamute_94 AMAL000001
AMAL000002 Alaskan_Malamute_95 AMAL000002
AMAL000003 Alaskan_Malamute_96 AMAL000003
AMBD000001 American_Bulldog_97 AMBD000001
AMBD000002 American_Bulldog_98 AMBD000002
AMBD000003 American_Bulldog_99 AMBD000003
AMBD000005 American_Bulldog_100 AMBD000005
AMST000001 American_Staffordshire_Terrier_101 AMST000001
AMST000003 American_Staffordshire_Terrier_102 AMST000003
AMST000005 American_Staffordshire_Terrier_103 AMST000005
AMST000006 American_Staffordshire_Terrier_104 AMST000006
AMWS000001 American_Water_Spaniel_105 AMWS000001
AMWS000002 American_Water_Spaniel_106 AMWS000002
AMWS000003 American_Water_Spaniel_107 AMWS000003
AMWS000005 American_Water_Spaniel_108 AMWS000005
AMWS000006 American_Water_Spaniel_109 AMWS000006
ANAT000001 Anatolian_Shepherd_Dog_110 ANAT000001
ANAT000004 Anatolian_Shepherd_Dog_111 ANAT000004
ANAT000006 Anatolian_Shepherd_Dog_112 ANAT000006
ANAT000007 Anatolian_Shepherd_Dog_113 ANAT000007
APPZ000003 Appenzeller_Sennenhund_114 APPZ000003
APPZ000008 Appenzeller_Sennenhund_115 APPZ000008
APPZ000009 Appenzeller_Sennenhund_116 APPZ000009
APPZ000010 Appenzeller_Sennenhund_117 APPZ000010
APPZ000011 Appenzeller_Sennenhund_118 APPZ000011
AR001 Australian_Terrier_119 AR001
ARIP000001 Ariege_Pointer_120 ARIP000001
ARIP000002 Ariege_Pointer_121 ARIP000002
ARIP000003 Ariege_Pointer_122 ARIP000003
ARIP000004 Ariege_Pointer_123 ARIP000004
ARIP000005 Ariege_Pointer_124 ARIP000005
AS008 American_Staffordshire_Terrier_125 AS008
ASKT000001 Silky_Terrier_126 ASKT000001
ASKT000002 Silky_Terrier_127 ASKT000002
ASKT000003 Silky_Terrier_128 ASKT000003
AU178 Australian_Shepherd_129 AU178
AU184 Australian_Shepherd_130 AU184
AUCD000001 Australian_Cattle_Dog_131 AUCD000001
AUCD000002 Australian_Cattle_Dog_132 AUCD000002
AUCD000003 Australian_Cattle_Dog_133 AUCD000003
AUPO000001 Auvergne_Pointer_134 AUPO000001
AUPO000002 Auvergne_Pointer_135 AUPO000002
AUPO000003 Auvergne_Pointer_136 AUPO000003
AUPO000004 Auvergne_Pointer_137 AUPO000004
AUPO000006 Auvergne_Pointer_138 AUPO000006
AUSK000001 Australian_Kelpie_139 AUSK000001
AUSK000002 Australian_Kelpie_140 AUSK000002
AUSK000004 Australian_Kelpie_141 AUSK000004
AUSK000005 Australian_Kelpie_142 AUSK000005
AUSK000006 Australian_Kelpie_143 AUSK000006
AUSS000002 Australian_Shepherd_144 AUSS000002
AUSS000003 Australian_Shepherd_145 AUSS000003
AUST000001 Australian_Terrier_146 AUST000001
AUST000002 Australian_Terrier_147 AUST000002
AUST000004 Australian_Terrier_148 AUST000004
AUST000005 Australian_Terrier_149 AUST000005
BANO000001 Basset_Artesien_Normand_150 BANO000001
BANO000002 Basset_Artesien_Normand_151 BANO000002
BANO000003 Basset_Artesien_Normand_152 BANO000003
BANO000004 Basset_Artesien_Normand_153 BANO000004
BANO000005 Basset_Artesien_Normand_154 BANO000005
BASS000003 Basset_Hound_155 BASS000003
BASS000005 Basset_Hound_156 BASS000005
BASS000007 Basset_Hound_157 BASS000007
BC0480 Border_Collie_158 BC0480
BC485 Border_Collie_159 BC485
BC578 Border_Collie_160 BC578
BC621 Border_Collie_161 BC621
BD016 Bearded_Collie_162 BD016
BD036 Bearded_Collie_163 BD036
BD052 Bearded_Collie_164 BD052
BD091 Bearded_Collie_165 BD091
BD098 Bearded_Collie_166 BD098
BEDT000001 Bedlington_Terrier_167 BEDT000001
BEDT000003 Bedlington_Terrier_168 BEDT000003
BEDT000005 Bedlington_Terrier_169 BEDT000005
BEDT000006 Bedlington_Terrier_170 BEDT000006
BEDT000007 Bedlington_Terrier_171 BEDT000007
BELS000003 Groenendael_172 BELS000003
BERG000001 Bergamasco_Sheepdog_173 BERG000001
BERG000002 Bergamasco_Sheepdog_174 BERG000002
BERG000004 Bergamasco_Sheepdog_175 BERG000004
BERG000005 Bergamasco_Sheepdog_176 BERG000005
BERG000006 Bergamasco_Sheepdog_177 BERG000006
BFDB000001 Basset_Fauve_de_Bretagne_178 BFDB000001
BFDB000002 Basset_Fauve_de_Bretagne_179 BFDB000002
BFDB000003 Basset_Fauve_de_Bretagne_180 BFDB000003
BFDB000005 Basset_Fauve_de_Bretagne_181 BFDB000005
BFDB000006 Basset_Fauve_de_Bretagne_182 BFDB000006
BG064 Bavarian_Mountain_Scent_Hound_183 BG064
BHSP000001 Bohemian_Shepherd_184 BHSP000001
BHSP000002 Bohemian_Shepherd_185 BHSP000002
BHSP000004 Bohemian_Shepherd_186 BHSP000004
BHSP000005 Bohemian_Shepherd_187 BHSP000005
BHSP000006 Bohemian_Shepherd_188 BHSP000006
BICH000001 Bichon_Frise_189 BICH000001
BICH000002 Bichon_Frise_190 BICH000002
BICH000006 Havanese_191 BICH000006
BICH000007 Bichon_Frise_192 BICH000007
BJ001 Basenji_193 BJ001
BJ002 Basenji_194 BJ002
BJ005 Basenji_195 BJ005
BJ006 Basenji_196 BJ006
BLDH000001 Bloodhound_197 BLDH000001
BLDH000002 Bloodhound_198 BLDH000002
BLDH000004 Bloodhound_199 BLDH000004
BLNK000001 Russian_Tsvetnaya_Bolonka_200 BLNK000001
BLNK000002 Russian_Tsvetnaya_Bolonka_201 BLNK000002
BLNK000003 Russian_Tsvetnaya_Bolonka_202 BLNK000003
BLNK000004 Russian_Tsvetnaya_Bolonka_203 BLNK000004
BLNK000006 Russian_Tsvetnaya_Bolonka_204 BLNK000006
BMSH000001 Bavarian_Mountain_Scent_Hound_205 BMSH000001
BMSH000002 Bavarian_Mountain_Scent_Hound_206 BMSH000002
BMSH000004 Bavarian_Mountain_Scent_Hound_207 BMSH000004
BMSH000005 Bavarian_Mountain_Scent_Hound_208 BMSH000005
BOER000001 Boerboel_209 BOER000001
BOER000002 Boerboel_210 BOER000002
BOER000004 Boerboel_211 BOER000004
BOLO000002 Bolognese_212 BOLO000002
BOLO000003 Bolognese_213 BOLO000003
BOLO000004 Bolognese_214 BOLO000004
BOLO000005 Bolognese_215 BOLO000005
BOLO000006 Bolognese_216 BOLO000006
BOPD000001 Bourbonnais_Pointing_Dog_217 BOPD000001
BOPD000002 Bourbonnais_Pointing_Dog_218 BOPD000002
BOPD000003 Bourbonnais_Pointing_Dog_219 BOPD000003
BOPD000006 Bourbonnais_Pointing_Dog_220 BOPD000006
BOPD000008 Bourbonnais_Pointing_Dog_221 BOPD000008
BOR304 Border_Terrier_222 BOR304
BOR333 Border_Terrier_223 BOR333
BOR421 Border_Terrier_224 BOR421
BOXR000001 Boxer_225 BOXR000001
BOXR000003 Boxer_226 BOXR000003
BOXR000004 Boxer_227 BOXR000004
BOXR000005 Boxer_228 BOXR000005
BOYK000001 Boykin_Spaniel_229 BOYK000001
BOYK000002 Boykin_Spaniel_230 BOYK000002
BOYK000003 Boykin_Spaniel_231 BOYK000003
BOYK000004 Boykin_Spaniel_232 BOYK000004
BOYK000005 Boykin_Spaniel_233 BOYK000005
BRAC000001 Bracco_Italiano_234 BRAC000001
BRAC000003 Bracco_Italiano_235 BRAC000003
BRAC000004 Bracco_Italiano_236 BRAC000004
BRAC000005 Bracco_Italiano_237 BRAC000005
BRAC000006 Bracco_Italiano_238 BRAC000006
BRBT000001 Barbet_239 BRBT000001
BRBT000002 Barbet_240 BRBT000002
BRBT000003 Barbet_241 BRBT000003
BRBT000004 Barbet_242 BRBT000004
BRBT000006 Barbet_243 BRBT000006
BRFR000001 Braques_Francais_244 BRFR000001
BRFR000002 Braques_Francais_245 BRFR000002
BRFR000003 Braques_Francais_246 BRFR000003
BRFR000004 Braques_Francais_247 BRFR000004
BRFR000005 Braques_Francais_248 BRFR000005
BRHM000001 Broholmer_249 BRHM000001
BRHM000002 Broholmer_250 BRHM000002
BRHM000004 Broholmer_251 BRHM000004
BRHM000005 Broholmer_252 BRHM000005
BRHM000006 Broholmer_253 BRHM000006
BRIA000001 Briard_254 BRIA000001
BRIA000002 Briard_255 BRIA000002
BRIA000003 Briard_256 BRIA000003
BRIA000004 Briard_257 BRIA000004
BRIA000006 Briard_258 BRIA000006
BRIT000001 Brittany_259 BRIT000001
BRIT000002 Brittany_260 BRIT000002
BRIT000003 Brittany_261 BRIT000003
BRIT000007 Brittany_262 BRIT000007
BRIT000008 Brittany_263 BRIT000008
BRJH000001 Bruno_Jura_Hound_264 BRJH000001
BRJH000002 Bloodhound_265 BRJH000002
BRJH000003 Bruno_Jura_Hound_266 BRJH000003
BRJH000004 Bruno_Jura_Hound_267 BRJH000004
BRJH000005 Bruno_Jura_Hound_268 BRJH000005
BRJH000006 Bruno_Jura_Hound_269 BRJH000006
BRMD000002 Bernese_Mountain_Dog_270 BRMD000002
BRMD000003 Bernese_Mountain_Dog_271 BRMD000003
BRMD000006 Bernese_Mountain_Dog_272 BRMD000006
BRMD000009 Bernese_Mountain_Dog_273 BRMD000009
BRTR000001 Black_Russian_Terrier_274 BRTR000001
BRTR000002 Black_Russian_Terrier_275 BRTR000002
BRTR000004 Black_Russian_Terrier_276 BRTR000004
BRTR000005 Black_Russian_Terrier_277 BRTR000005
BRUS000001 Brussels_Griffon_278 BRUS000001
BRUS000003 Brussels_Griffon_279 BRUS000003
BRUS000004 Brussels_Griffon_280 BRUS000004
BRUS000005 Brussels_Griffon_281 BRUS000005
BRUS000006 Brussels_Griffon_282 BRUS000006
BRZT000002 Brazilian_Terrier_283 BRZT000002
BRZT000003 Brazilian_Terrier_284 BRZT000003
BRZT000004 Brazilian_Terrier_285 BRZT000004
BRZT000005 Brazilian_Terrier_286 BRZT000005
BRZT000006 Brazilian_Terrier_287 BRZT000006
